#!cindex,char
#!INT,TEXT
1,阿博特
2,阿贝
3,雅伯
4,阿克曼
5,亚当
6,亚当斯
7,艾迪生
8,阿德拉
9,阿德
10,阿道夫
11,阿格尼
12,艾伯特
13,奥尔特
14,阿莉丝
16,艾尔
15,安东尼
17,安娜
18,安妮
19,安
20,阿诺德
21,阿瑟
22,阿特丽
23,奥古斯
24,奥斯汀
25,巴比特
26,巴赫
27,培根
28,鲍德温
29,巴纳德
30,巴尼
31,巴特
32,巴特利
33,巴顿
34,鲍尔
35,比尔德
36,波夫特
37,比切尔
38,巴基
39,比尔博
40,贝尔
41,本
42,贝洛克
43,本杰明
44,贝内特
45,本森
46,本瑟姆
47,伯克利
48,博纳尔
49,伯纳德
50,波特
51,博莎
52,博蒂
53,博特伦
54,贝斯
55,贝西
56,贝琪
57,贝蒂
58,比尔
59,比利
60,比利尔
61,布莱克
62,布鲁诺
63,布劳
64,布卢姆
65,鲍勃
66,鲍恩
67,鲍曼
68,博伊尔
69,布雷
70,布鲁斯
71,布里奇
72,布莱特
73,布雷德
74,布鲁克
75,布鲁斯
76,布鲁诺
77,勃朗宁
78,布朗
79,布罗德
80,巴克
81,布莱斯
82,布莱恩
83,伯克
84,巴克尔
85,布尔沃
86,伯恩斯
87,巴特勒
88,拜伦
89,卡米拉
90,坎普
91,卡里
92,卡尔
93,卡莱尔
94,卡门
95,卡内基
96,卡罗琳
97,卡朋特
98,凯瑟琳
99,赛西亚
100,张伯伦
101,查普里
102,查尔曼
103,查普曼
104,查理
105,切斯特
106,柴尔德
107,克里斯
108,丘吉尔
109,卡拉拉
110,克拉克
111,克莱尔
112,卡拉利
113,克里曼
114,卡拉门
115,克克尔
116,克菲
117,柯林斯
118,柯南
119,康尼
120,康纳
121,康拉德
122,库克
123,科顿
124,考伯
125,克雷吉
126,克兰
127,克罗夫
128,坎伯兰
129,柯姆
130,黛西
131,丹
132,丹尼尔
133,达尔文
134,戴维
135,笛福
136,迪利亚
137,丹尼斯
138,昆西
139,杜威
140,杜瓦
141,迪克
142,狄龙
143,多宾
144,多德
145,道尔蒂
146,多利
147,多啦
148,多罗西
149,多恩
150,多利
151,道尔
152,道格
153,德莱塞
154,泰勒
155,库珀
156,巴博
157,贝克
158,卡彭特
159,克拉克
160,史密斯
161,亨特
162,卡特
163,库克
164,米勒
165,特纳
166,霍尔
167,肯特
168,米尔
169,布鲁克
170,希尔
171,雷克
172,菲尔德
173,伍德
174,格林
175,威尔
176,布朗
177,怀特
178,朗曼
179,肖特
180,夏普
181,哈代
182,杨
183,斯特林
184,奥丁森
185,汤姆森
186,杰克森
187,威尔森
188,威廉森
189,托马森
190,巴克
191,汉德
192,芬格
193,布雷恩
194,博得
195,布尔
196,福克斯
197,霍克
198,布克
199,斯托克
200,克顿
201,里德
202,乔治
203,亨利
204,大卫
205,克林
206,格蕾丝
207,艾米丽
208,海伦
209,凯勒
210,约克
211,依夫
212,伍德
213,威尔斯
214,乔安娜
215,弗里达
216,莫利
217,娜塔莎
218,奥帕
219,宝拉
220,帕姬
221,威尔逊
222,威廉
223,莫泊桑
224,莫桑
225,居伊
226,热瓦
227,雅克琳
228,马丹
229,诺夫娜
230,拉赫曼
231,伊本
232,乔治
233,泰莱尔
234,托亚斯
235,托米
236,尤顿
237,汤尼
238,勒斯比
239,希尔
240,希伯
241,丹夏
242,比奇
243,依莉丝
244,荷鲁
245,卡比
246,麦当劳
247,麦当娜
248,卡利娜
249,阿利婕
250,本菲特
251,本菲卡
252,萨达
253,巴雷特
